Company_ID,Establishment_Year,Tech_Readiness_Level,Company_Structure,IT_Budget_USD,Small_Branch_Offices,International_Branches,Days_Since_Last_Contract,Mnt_Cloud_Infrastructure,Mnt_CRM_Software,Mnt_ERP_Systems,Mnt_Cybersecurity,Mnt_Collaboration_Tools,Mnt_AI_Data_Analytics,Num_Discounted_Contracts,Num_SelfService_Contracts,Num_Partner_Reseller_Contracts,Num_Direct_Sales_Contracts,Num_B2B_Portal_Visits_Month,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,SLA_Breach_Complaints,Response,Mnt_Total_Enterprise_Spend,AI_Spending_Ratio,Partnership_Years,Macro_Cluster,Macro_Cluster_Name,Final_Segment,Probability_To_Buy,Campaign
10164,1958,3,1,94472.0,0,1,75,1017,33,417,108,100,16,1,5,5,5,5,0,1,1,0,0,0,0,1691,0.0094562647754137,12,2,Large Enterprise,Large Enterprise - Cloud Focus,1.0,AcceptedCmp1
9499,1954,3,2,93404.0,1,2,97,1279,15,287,20,0,15,3,3,4,7,5,0,1,1,0,0,0,0,1616,0.0092764378478664,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.8101265822784809,AcceptedCmp1
9757,1972,3,0,84906.0,0,0,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,1631,0.0465686274509803,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.8101265822784809,AcceptedCmp1
3422,1975,3,2,76068.0,0,1,67,1115,12,128,33,12,76,1,2,3,4,6,0,1,0,0,1,0,0,1376,0.05519244734931,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.8101265822784809,AcceptedCmp1
2088,1972,3,0,84906.0,0,0,98,997,15,414,99,30,76,1,5,6,12,2,0,1,1,0,1,0,0,1631,0.0465686274509803,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.8101265822784809,AcceptedCmp1
1361,1974,2,2,82584.0,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,1435,0.0473537604456824,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7913446676970635,AcceptedCmp1
4394,1965,0,2,81051.0,0,0,43,1142,29,249,38,29,14,1,5,5,12,2,0,1,1,0,0,0,0,1501,0.0093209054593874,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7913446676970635,AcceptedCmp1
1079,1971,0,2,71969.0,0,1,59,1000,0,76,0,0,10,3,3,4,9,8,0,1,0,0,0,0,0,1086,0.0091996320147194,14,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7913446676970635,AcceptedCmp1
2909,1974,0,2,78128.0,0,1,89,934,24,230,16,24,36,2,8,4,6,3,0,1,1,0,0,0,0,1264,0.0284584980237154,12,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7913446676970635,AcceptedCmp1
10675,1956,0,2,66334.0,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,1161,0.0197934595524956,13,2,Large Enterprise,Large Enterprise - Cloud Focus,0.7804878048780487,AcceptedCmp1
