Company_ID,Establishment_Year,Tech_Readiness_Level,Company_Structure,IT_Budget_USD,Small_Branch_Offices,International_Branches,Days_Since_Last_Contract,Mnt_Cloud_Infrastructure,Mnt_CRM_Software,Mnt_ERP_Systems,Mnt_Cybersecurity,Mnt_Collaboration_Tools,Mnt_AI_Data_Analytics,Num_Discounted_Contracts,Num_SelfService_Contracts,Num_Partner_Reseller_Contracts,Num_Direct_Sales_Contracts,Num_B2B_Portal_Visits_Month,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,SLA_Breach_Complaints,Response,Mnt_Total_Enterprise_Spend,AI_Spending_Ratio,Partnership_Years,Macro_Cluster,Macro_Cluster_Name,Final_Segment
5524,1957,3,1,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,0.0543881334981458,14,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
2174,1954,3,1,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,0.2142857142857142,12,0,Small Business (SMEs),Small Business (SMEs)
4141,1965,3,0,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,0.054054054054054,13,1,Mid-Market Enterprise,Mid-Market Enterprise
6182,1984,3,0,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,0.0925925925925925,12,0,Small Business (SMEs),Small Business (SMEs)
5324,1981,0,2,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,0.0354609929078014,12,1,Mid-Market Enterprise,Mid-Market Enterprise
7446,1967,2,0,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,0.0195258019525801,13,1,Mid-Market Enterprise,Mid-Market Enterprise
965,1971,3,4,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,0.0456852791878172,14,1,Mid-Market Enterprise,Mid-Market Enterprise
6177,1985,0,2,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,0.1352941176470588,13,0,Small Business (SMEs),Small Business (SMEs)
4855,1974,0,0,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,0.0425531914893617,13,0,Small Business (SMEs),Small Business (SMEs)
5899,1950,0,0,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,0.26,12,0,Small Business (SMEs),Small Business (SMEs)
1994,1983,3,2,51381.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,19,0.05,13,0,Small Business (SMEs),Small Business (SMEs)
387,1976,4,2,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,0.2580645161290322,14,0,Small Business (SMEs),Small Business (SMEs)
2125,1959,3,4,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,0.027198549410698,13,1,Mid-Market Enterprise,Mid-Market Enterprise
8180,1952,2,4,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,0.045016077170418,13,1,Mid-Market Enterprise,Mid-Market Enterprise
2569,1987,3,2,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,0.1063829787234042,14,0,Small Business (SMEs),Small Business (SMEs)
2114,1946,0,1,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,0.0341945288753799,14,2,Large Enterprise,Large Enterprise - Cloud Focus
9736,1980,3,2,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,0.0412371134020618,14,0,Small Business (SMEs),Small Business (SMEs)
4939,1946,3,0,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,0.0880503144654088,14,0,Small Business (SMEs),Small Business (SMEs)
6565,1949,2,2,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,0.0987100392596747,13,2,Large Enterprise,Large Enterprise - Cloud Focus
2278,1985,1,1,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,0.291044776119403,14,0,Small Business (SMEs),Small Business (SMEs)
9360,1982,3,2,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,0.1514195583596214,14,0,Small Business (SMEs),Small Business (SMEs)
5376,1979,3,2,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,0.0005777007510109,13,0,Small Business (SMEs),Small Business (SMEs)
1993,1949,0,2,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,0.0195272353545734,14,1,Mid-Market Enterprise,Mid-Market Enterprise
4047,1954,0,2,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,0.0091743119266055,12,1,Mid-Market Enterprise,Mid-Market Enterprise
1409,1951,3,0,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,0.2224719101123595,13,0,Small Business (SMEs),Small Business (SMEs)
7892,1969,3,1,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,0.1710526315789473,13,0,Small Business (SMEs),Small Business (SMEs)
2404,1976,3,2,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,0.1589147286821705,13,1,Mid-Market Enterprise,Mid-Market Enterprise
5255,1986,3,1,51381.5,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,637,0.567398119122257,13,1,Mid-Market Enterprise,Mid-Market Enterprise
9422,1989,3,2,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,0.0757575757575757,13,0,Small Business (SMEs),Small Business (SMEs)
1966,1965,0,2,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,0.0,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
6864,1989,2,4,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,0.1290322580645161,12,0,Small Business (SMEs),Small Business (SMEs)
3033,1963,2,0,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,0.2789968652037617,13,0,Small Business (SMEs),Small Business (SMEs)
5710,1970,3,0,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,0.024793388429752,14,0,Small Business (SMEs),Small Business (SMEs)
7373,1952,0,4,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,0.1419141914191419,14,0,Small Business (SMEs),Small Business (SMEs)
8755,1946,2,2,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,0.0183792815371762,13,2,Large Enterprise,Large Enterprise - ERP & Cyber Focus
10738,1951,2,1,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,0.0454545454545454,13,0,Small Business (SMEs),Small Business (SMEs)
4339,1970,0,2,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,0.0382932166301969,13,1,Mid-Market Enterprise,Mid-Market Enterprise
